timestamp,open,high,low,close,volume
,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
2026-01-12 03:45:00+00:00,25671.94921875,25699.55078125,25654.75,25657.44921875,0
2026-01-12 03:46:00+00:00,25657.5,25657.650390625,25612.80078125,25615.5,0
2026-01-12 03:47:00+00:00,25616.30078125,25624.69921875,25613.19921875,25613.19921875,0
2026-01-12 03:48:00+00:00,25612.94921875,25627.44921875,25611.099609375,25622.0,0
2026-01-12 03:49:00+00:00,25623.55078125,25626.150390625,25611.05078125,25611.05078125,0
2026-01-12 03:50:00+00:00,25610.650390625,25610.650390625,25593.400390625,25594.150390625,0
2026-01-12 03:51:00+00:00,25592.650390625,25593.349609375,25584.19921875,25588.44921875,0
2026-01-12 03:52:00+00:00,25591.05078125,25591.30078125,25579.650390625,25588.900390625,0
2026-01-12 03:53:00+00:00,25587.94921875,25590.75,25575.349609375,25577.75,0
2026-01-12 03:54:00+00:00,25576.80078125,25580.0,25556.099609375,25559.80078125,0
2026-01-12 03:55:00+00:00,25558.849609375,25566.05078125,25549.099609375,25549.099609375,0
2026-01-12 03:56:00+00:00,25552.19921875,25558.400390625,25550.05078125,25553.69921875,0
2026-01-12 03:57:00+00:00,25553.55078125,25554.349609375,25530.94921875,25531.30078125,0
2026-01-12 03:58:00+00:00,25530.150390625,25538.19921875,25529.400390625,25535.599609375,0
2026-01-12 03:59:00+00:00,25536.30078125,25541.25,25531.80078125,25532.44921875,0
2026-01-12 04:00:00+00:00,25532.349609375,25560.44921875,25530.19921875,25559.650390625,0
2026-01-12 04:01:00+00:00,25560.94921875,25579.150390625,25555.44921875,25555.75,0
2026-01-12 04:02:00+00:00,25556.150390625,25561.0,25548.25,25549.599609375,0
2026-01-12 04:03:00+00:00,25551.30078125,25565.19921875,25549.94921875,25564.30078125,0
2026-01-12 04:04:00+00:00,25565.55078125,25576.44921875,25565.44921875,25568.75,0
2026-01-12 04:05:00+00:00,25569.099609375,25577.94921875,25561.650390625,25575.30078125,0
2026-01-12 04:06:00+00:00,25575.5,25575.5,25560.599609375,25571.30078125,0
2026-01-12 04:07:00+00:00,25570.94921875,25586.900390625,25570.19921875,25575.30078125,0
2026-01-12 04:08:00+00:00,25577.25,25597.099609375,25577.25,25589.650390625,0
2026-01-12 04:09:00+00:00,25590.099609375,25597.099609375,25582.0,25583.849609375,0
2026-01-12 04:10:00+00:00,25582.05078125,25582.05078125,25569.55078125,25569.55078125,0
2026-01-12 04:11:00+00:00,25569.44921875,25571.650390625,25560.44921875,25567.0,0
2026-01-12 04:12:00+00:00,25566.849609375,25567.099609375,25557.400390625,25561.650390625,0
2026-01-12 04:13:00+00:00,25561.44921875,25561.44921875,25543.650390625,25547.25,0
2026-01-12 04:14:00+00:00,25547.0,25559.900390625,25545.30078125,25557.599609375,0
2026-01-12 04:15:00+00:00,25558.400390625,25565.44921875,25551.80078125,25560.80078125,0
2026-01-12 04:16:00+00:00,25560.0,25564.80078125,25551.0,25552.30078125,0
2026-01-12 04:17:00+00:00,25551.5,25554.0,25546.0,25547.349609375,0
2026-01-12 04:18:00+00:00,25549.849609375,25575.400390625,25548.69921875,25574.44921875,0
